model,method,variation_type,wrong_count
Qwen3-0.6B,cot,scale_tweak,42
Qwen3-0.6B,cot,base,37
Qwen3-0.6B,cot,critical_thinking,37
Qwen3-0.6B,cot,rephrase,34
Qwen3-0.6B,sc,scale_tweak,34
Qwen3-0.6B,cot,irrelevant_numeric,33
Qwen3-0.6B,cot,symbolic_swap,33
Qwen3-0.6B,sc,symbolic_swap,32
Qwen3-0.6B,sc,base,27
Qwen3-0.6B,sc,irrelevant_numeric,25
Qwen3-1.7B,cot,symbolic_swap,25
Qwen3-1.7B,cot,irrelevant_numeric,23
Qwen3-1.7B,cot,scale_tweak,23
Qwen3-1.7B,cot,critical_thinking,22
Qwen3-1.7B,sc,symbolic_swap,22
Qwen3-1.7B,cot,rephrase,22
Qwen3-1.7B,sc,scale_tweak,22
Qwen3-1.7B,cot,base,21
Qwen3-1.7B,sc,base,17
Qwen3-1.7B,sc,irrelevant_numeric,15
